Filing Name,Extracted Table of Contents,URL,Conclusion,Table of Contents,Human Annotation,Outcome
scotus_filing_37516,"TABLE OF CONTENTS 
QUESTION PRESENTED.......................................... i 
TABLE OF AUTHORITIES ...................................... iii 
INTEREST OF AMICUS CURIAE............................. 1 
SUMMARY OF ARGUMENT ..................................... 1 
ARGUMENT ............................................................... 2 
I. The Ministerial Exception Serves the Purpose 
of the Religion Clauses by Ensuring that the 
Federal Government Does Not Interfere with 
Individual Freedom of Religion........................ 2 
A. The Establishment Clause protects religious 
institutions from federal interference.............. 2 
B. The ministerial exception keeps government 
out of religious matters and should be applied 
broadly. ............................................................. 8 
II. Courts Must Defer to a Religious 
Organization’s Sincere Determination as to 
Who Qualifies as a “Minister.” ....................... 11 
CONCLUSION .......................................................... 14 
 
 
 
iii 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132508/20200210140727897_19-267%20tsac%20CCJ.pdf,"CONCLUSION 
The ministerial exception implements the reli-
gious freedoms of the Establishment Clause – the 
freedom from government interference in the selec-
tion and retention of individuals who will convey the 
message of a religious organization or pursue its mis-
sion.  The court should defer to the good-faith deter-
mination of the religious organization as to who those 
individuals are within the organization. 
 
February 2020    
 
Respectfully submitted, 
 
 
JOHN C. EASTMAN 
ANTHONY T. CASO 
   Counsel of Record 
Claremont Institute’s Center 
  for Constitutional Jurispru-
dence 
c/o Chapman University 
Fowler School of Law 
One University Drive 
Orange, CA  92866 
(877) 855-3330 
caso@chapman.edu 
 
 
 
Counsel for Amicus Curiae","{'AMICUS CURIAE': '1', 'ARGUMENT .....................................': '1', 'ARGUMENT ...............................................................': '2', 'of Religion': '2', 'federal interference': '2', 'broadly. ': '8', 'CONCLUSION ..........................................................': '14'}",,other
scotus_filing_37520,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ........................................ii 
INTEREST OF THE AMICUS CURIAE.................... 1 
SUMMARY OF ARGUMENT ..................................... 2 
ARGUMENT................................................................ 5 
I. 
The ministerial exception protects the 
courts from exercising governmental 
authority to review religious determi-
nations ............................................................ 5 
II. Because of the protections afforded by 
the ministerial exception, its applica-
tion should be determined before courts 
reach the merits .............................................. 8 
A. If discovery is needed to decide if 
the ministerial exception applies, 
discovery should be limited to that 
issue ........................................................ 11 
B. If trial is necessary, courts should 
consider bifurcating trial on the 
ministerial exception from trial on 
the merits ............................................... 14 
C. Orders denying the application of 
the ministerial exception should be 
immediately appealable ......................... 15 
CONCLUSION .......................................................... 17 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132506/20200210140552303_EPPC%20Amicus%20Brief.pdf,"CONCLUSION 
The Court should reverse the judgments below. In 
so doing, the Court should clarify the structural 
protections afforded by the ministerial exception and 
instruct lower courts to resolve whether the 
ministerial exception applies as early as possible in 
cases where it arises. 
 
 
Respectfully submitted, 
 
MATTHEW T. NELSON 
  Counsel of Record 
CONOR B. DUGAN 
WARNER NORCROSS + JUDD LLP 
1500 Warner Building 
150 Ottawa Avenue NW 
Grand Rapids, MI 49503 
(616) 752-2000 
mnelson@wnj.com 
 
Counsel for Amicus Curiae 
February 10, 2020","{'AMICUS CURIAE': '1', 'ARGUMENT .....................................': '2', 'ARGUMENT................................................................': '5', 'nations ............................................................': '5', 'merits ..............................................': '8', 'issue ........................................................': '11', 'merits ...............................................': '14', 'appealable .........................': '15', 'CONCLUSION ..........................................................': '17'}",,reverse
scotus_filing_37523,"TABLE OF CONTENTS
TABLE OF AUTHORITIES . . . . . . . . . . . . . . . . . . iii
INTEREST OF AMICUS CURIAE . . . . . . . . . . . . . . 1
INTRODUCTION AND 
SUMMARY OF THE ARGUMENT . . . . . . . . . . . 2
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
MINISTERIAL 
EMPLOYEES 
ARE 
THE
“LIFEBLOOD” 
OF 
A 
RELIGIOUS
ORGANIZATION 
BECAUSE 
THEY 
ARE
CRITICAL 
TO 
THE 
ORGANIZATION’S
ABILITY TO FULFILL ITS MISSION AND
DISSEMINATE ITS MESSAGE. . . . . . . . . . . . . . 4
A. The ministerial exception implicates a trilogy
of core First Amendment rights— speech,
association, and religion.. . . . . . . . . . . . . . . . . 5
B. The schools are religious associations
entitled to define and express themselves.. . . 5
C. A religious school is engaged in speaking a
message that is inextricably linked to its
mission. The schools must retain the
exclusive right to select the messenger. . . . . . 9
D. A religious association conveys its message
not only through speech, but also the conduct
of its representatives. . . . . . . . . . . . . . . . . . . 14
E. The ministerial exception complements the
broad Title VII statutory exemption from
religious discrimination. . . . . . . . . . . . . . . . . 15
ii
II. THE 
MINISTERIAL 
EXCEPTION 
IS
POTENTIALLY 
RELEVANT 
TO 
OTHER
CLAIMS 
INVOLVING 
MINISTERIAL
EMPLOYEES.. . . . . . . . . . . . . . . . . . . . . . . . . . . 17
A. The ministerial exception may extend to
other 
aspects 
of 
the 
employment
relationship, including wage and hour
claims. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 17
B. The ministerial exception bars some breach
of contract claims. . . . . . . . . . . . . . . . . . . . . . 20
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 22
iii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132492/20200210134450957_19-267%2019-348%20tsac%20ILF--PDFA.pdf,"CONCLUSION
This Court should reverse the two decisions of the
Ninth Circuit and clarify the scope of the ministerial
exception.",{},,reverse
scotus_filing_37527,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF THE AMICI CURIAE . . . . . . . . . . . 1
SUMMARY OF THE ARGUMENT. . . . . . . . . . . . . . 3
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
The Lower Court’s Rigid Application Of The
Ministerial Exception Threatens The First
Amendment Rights Of Jewish Organizations . . . 4
II. The First Amendment And This Court’s
Precedents Require A Qualitative Application Of
The Ministerial Exception . . . . . . . . . . . . . . . . . 10
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 17
ii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132554/20200210164300159_19-267%2019-348%20Amici%20Brief%20The%20American%20Jewish%20Committee%20et%20al.pdf,"CONCLUSION
For the foregoing reasons, this Court should reverse
the decisions of the Ninth Circuit.
Respectfully submitted,
STEVEN B. FEIRSON
MICAH BROWN
DECHERT LLP
Cira Centre 
2929 Arch Street 
Philadelphia, PA 19104
(215) 994-4000
MICHAEL H. MCGINLEY
  Counsel of Record
DECHERT LLP
1900 K Street, NW
Washington, DC 20006
(202) 261-3300
michael.mcginley@dechert.com
Counsel for Amici Curiae
February 10, 2020",{},,reverse
scotus_filing_37529,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF AMICUS CURIAE . . . . . . . . . . . . . . 1
SUMMARY OF ARGUMENT . . . . . . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
The Free Exercise Clause Protects Not Only
the Right of Conscience, but Also the Right to
Religious Autonomy. . . . . . . . . . . . . . . . . . . . . 4
II.
The Establishment Clause Also Protects
Religious Autonomy by Guarding Against
State Control of How Religious Organizations
Operate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
III.
The Ministerial Exception Is Grounded
Primarily in the Right to Religious Autonomy
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8
IV.
Because of the Purpose of the Ministerial
Exception, a Minister Must Be Defined by
Virtue of Religious Functions . . . . . . . . . . . . . 9
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
ii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132471/20200210123743401_19-267%2019-348%20FLI%20Morrissey-Berru%20Amicus.pdf,"CONCLUSION
For these reasons, the Court should reverse the
Ninth Circuit decisions below.
Respectfully submitted,
KELLY J. SHACKELFORD
   Counsel of Record
HIRAM S. SASSER, III
MICHAEL BERRY
STEPHANIE N. TAUB
FIRST LIBERTY INSTITUTE
2001 West Plano Parkway
Suite 1600
Plano, TX 75075
(972) 941-4444
kshackelford@firstliberty.org
Counsel for Amicus Curiae
February 10, 2020",{},,reverse
scotus_filing_37539,"TABLE OF CONTENTS 
Page 
Interest of the United States....................................................... 1 
Statement ...................................................................................... 2 
Summary of argument ................................................................. 7 
Argument ....................................................................................... 9 
A. 
The First Amendment prohibits governmental 
interference with ecclesiastical appointments .......... 10 
B. 
The ministerial exception extends to any 
employee of a religious organization who 
performs an important religious function ................. 13 
1. 
Hosanna-Tabor recognized a ministerial 
exception grounded in the Religion Clauses’ 
special solicitude for religious functionaries ..... 15 
2. 
The ministerial exception applies when an 
employee’s job duties or other facts show 
that the employee performs an important 
religious function .................................................. 16 
C. 
The ministerial exception bars respondents’ 
employment-discrimination claims ............................ 22 
D. 
The counterarguments advanced by the court  
of appeals and respondents lack merit ...................... 26 
Conclusion ................................................................................... 35 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132688/20200211161548810_19-26719-348tsacUnitedStates.pdf,"CONCLUSION 
The judgments of the court of appeals should be  
reversed. 
Respectfully submitted. 
SHARON FAST GUSTAFSON 
General Counsel 
RACHEL N. MORRISON 
Attorney 
Equal Employment  
Opportunity Commission 
 
NOEL J. FRANCISCO 
Solicitor General 
ERIC S. DREIBAND 
Assistant Attorney General 
JEFFREY B. WALL 
Deputy Solicitor General 
ALEXANDER V. MAUGERI 
Deputy Assistant Attorney 
General 
MORGAN L. RATNER 
MICHAEL R. HUSTON 
Assistants to the Solicitor 
General 
ERIC W. TREENE 
Attorney 
FEBRUARY 2020","{'United States': '1', 'Statement ......................................................................................': '2', 'argument .................................................................': '7', 'Argument .......................................................................................': '9', 'appointments ..........': '10', 'function ................. 13': '1', 'functionaries ..... 15': '2', 'function ..................................................': '16', 'claims ............................': '22', 'merit ......................': '26', 'Conclusion ...................................................................................': '35'}",,reverse
scotus_filing_37551,"TABLE OF CONTENTS 
Page 
i 
TABLE OF AUTHORITIES .................................  
ii 
INTEREST OF THE AMICI CURIAE .................  
1 
SUMMARY OF ARGUMENT ..............................  
1 
ARGUMENT ........................................................  
4 
 
I.   Federal and state civil rights laws provide 
important protections for employees .........  
4 
 II.   Application of the ADA and ADEA’s anti-
discrimination provisions to these cases 
does not violate the First Amendment ......  15 
 III.   The approach advocated by petitioners 
and 
the 
federal 
government 
would 
undermine workplace anti-discrimination 
protections .................................................  33 
CONCLUSION .....................................................  36 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-267/137833/20200311142423697_2020%2003%2011%20Amicus%20Brief%20of%20Virginia%20et%20al%20ISO%20Respondents.pdf,"CONCLUSION 
 
The judgments of the court of appeals should be 
afﬁrmed. 
 
Respectfully submitted. 
MARK R. HERRING 
 Attorney General 
KEONNA CARTER AUSTIN 
SAMUEL T. TOWELL 
 Deputy Attorneys General 
 
 
 
 
 
 
 
 
 
 
March 11, 2020 
TOBY J. HEYTENS 
 Solicitor General  
  Counsel of Record 
MARTINE E. CICCONI 
MICHELLE S. KALLEN  
 Deputy Solicitors General 
JESSICA MERRY SAMUELS 
 Assistant Solicitor General  
ZACHARY R. GLUBIAK 
 John Marshall Fellow 
OFFICE OF THE VIRGINIA  
 ATTORNEY GENERAL 
202 North Ninth Street 
Richmond, Virginia 23219 
(804) 786-7240 
solicitorgeneral@oag.state.va.us","{'CURIAE .................  ': '1', 'ARGUMENT ..............................  ': '1', 'ARGUMENT ........................................................  ': '4', 'employees .........  ': '4', 'Amendment ...... ': '15', 'protections ................................................. ': '33', 'CONCLUSION ..................................................... ': '36'}",,other
scotus_filing_3760,"TABLE OF CONTENTS.,,
FACTS & EXTRAORDINARY CIRCUMSTANCES FOR JURISDICTION 1
PARTICULAR LEGAL QUE3TIONS-TSSUES ANTICIPATED RULE i4<S)<ii). ■ 7
SUMMARY FASHION ARGUMENT-AUTHORITY FOR JURISDICTION 
.................................................. .............. ........................ ..................10
»•»«»<
«.*n
CERTIFICATE OF FILING & SERVICE ACCOMPANIMENT:
.12
.. 12
NOTARIZED AFFIDAVIT
**«,
....14
CERTIFICATE OF tLS« MAIL SERVICE
15
",http://www.supremecourt.gov/DocketPDF/21/21-5300/185733/20210806160233490_20210806-095121-00001404-00004622.pdf,"Conclusion]: Montana Slate is not Florida State: yet the market value definition is consistent in both Montana & 
Florida. Property Tax Value is based on unwilling seller, Contested Indenture as ""lease indenture*’ agreement Henry P. 
[.ussy is not a willing occupant-seller deserving this (15%) discount: proposed assessment $172,247 less (l5%|- 
{discount) equals f$25.837) for 2017 assessment oflSHS-dlOj.
STATE OF FLORIDA 
Comity of Florida
The signer 
_____Richard C. Lussy MAI (Member of Appraisal Institute), SRA (Senior
Residential Appraiser) nsTproperty appraiser, has been duly sworn, hereby deposes and says with U1 & (12 above;
3. ) I am 67-years old, resident of State of Florida &#3-brotherof this claimed property owner. I have
personal knowledge of the facts heroin, and if called as a witness could testify completely thereto.
4. ) I suffer no legal disabilities and have personal knowledge of facts set forth herein.
5. ) I declare that to the best of my knowledge & belief the information herein is true, correct and complete.
NOTARY PUBLIC VERIFIED, SWORN To & Subscribed before me this day ofNatf^mber 3, 2017, by Richard
C. Lussy, 
^________who CJ is personally known to me or who (Jj have produced iiis Florida
Drivers License as identification: 2840 Shoreview Dr., Suite #2, Naples, Fla. 34112, 5^(239)263.54)3 E-mail: 
ricklussy@yahoo.com. 
^ ^ By
Notary Pufflio^Stiite of Florida 77~
AoZ*// *
t jitiSN'/to*
ROBIN A.10BEIL 
\\ Notary Public • Stale ot Florida 
r/ . Commhslon # 6G 042600 
My Comm. Expire* Oct 27,2020
\
m.
i ?.
(SEAL)
Print, Type, or Name of Notary Public
\
W f VVD U WW’W ■*
4
I
zrj-j'","{'FOR JURISDICTION': '1', '12\n..': '12', 'MAIL SERVICE': '15'}",,other
scotus_filing_3798,"TABLE OF CONTENTS
Page
",http://www.supremecourt.gov/DocketPDF/21/21-5310/186893/20210809134900365_20210809-133050-00002015-00002416.pdf,"conclusions he wants us to 
adopt”].) Plaintiff, therefore, has forfeited all his contentions on 
appeal. We nonetheless briefly address several of plaintiffs 
arguments to the extent they are supported by citations to legal 
authorities.
Plaintiff contends defendants should have filed the notice of 
removal to federal court within 30 days of purportedly receiving 
copies of the complaint by mail on May 24, 2019. As his sole 
authority, plaintiff cites Michetti Pipe Stringing, Inc. v. Murphy 
Bros. (11th Cir. 1997) 125 F.3d 1396, 1398, which is no longer 
good law. In Michetti, the Eleventh Circuit held that the 30-day 
removal period under 28 U.S.C. § 1146 “begins to rim when a 
defendant actually receives a copy of a filed initial pleading by 
any means.” The United States Supreme Court reversed, 
however, holding that the time to remove “is triggered by 
simultaneous service of the summons and complaint, or receipt of 
the complaint, ‘through service or otherwise,’ after and apart 
from service of the summons, but not by mere receipt of the 
complaint unattended by any formal service.” (Murphy Bros. v. 
Michetti Pipe Stringing, Inc. (1999) 526 U.S. 344, 347—348.) Thus, 
defendants’ time to remove the case to federal court was not 
triggered until they were formally served with the complaint and 
summons.
Plaintiff also contends the motion to quash was not timely 
filed after the federal court remanded the case back to the state 
court. Section 430.90, subdivision (a)(1), provides 30 days to file a 
motion to quash service of summons “from the day the original 
court receives the case on remand.” Here, the federal court issued 
its order remanding this case back to the Superior Court on July 
9, 2019. Defendants filed the motion to quash thirty days later,
7",{},,reverse
scotus_filing_37988,"TABLE OF CONTENTS 
 
INTEREST OF AMICI CURIAE .......................................... 1 
 
INTRODUCTION AND SUMMARY OF THE 
ARGUMENT ......................................................................... 2 
 
ARGUMENT ......................................................................... 3 
 
I.  STRUCTURAL PARTISAN BALANCE 
REQUIREMENTS FOCUSING ON PARTISAN 
AFFILIATION ARE PREVALENT IN FEDERAL 
AND STATE GOVERNMENT INSTITUTIONS. ........ 3 
 
A.  Partisan Balance Requirements Are 
Widespread. ............................................................. 3 
 
B.  Invalidating Delaware’s Judicial Partisan 
Balance Requirement In A Broadly Worded 
Opinion Will Create Chaos. ................................... 23 
 
II.  ALTHOUGH PARTISAN BALANCE 
REQUIREMENTS MAY BE LEGALLY 
ACCEPTABLE, IT IS UNCONSTITUTIONAL FOR 
GOVERNMENTS TO DETERMINE WHO IS ‘TOO 
REPUBLICAN’ OR ‘TOO DEMOCRATIC’ WITHIN 
THESE STRUCTURES................................................ 24 
 
A.  Challenges To Governmental Partisan 
Determinations ....................................................... 24 
 
B.  Government should not be in the business of 
determining who is “too Republican” or “too 
Democratic.” .......................................................... 31 
 
 
 
ii 
 
C.  The Court Should Decide This Appeal In A 
Way That Does Not Endanger Amici Curiae’s 
Challenge Or Similar Challenges. ......................... 32 
 
CONCLUSION .................................................................... 33 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
iii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-309/130216/20200128171944426_19-309%20Amicus%20Brief%20Daunt%20in%20Support%20of%20Petitioner.pdf,"CONCLUSION 
 
For the aforementioned reasons, Amici curiae 
respectfully request that this Court uphold the 
notion that partisan balance in certain government 
institutions can be a worthy and constitutional 
objective, while not deciding the case in a manner 
that would foreclose or decide in advance how to 
handle statutes that engage in line drawing and 
exclusions beyond self-declared partisan affiliations. 
 
Respectfully submitted, 
 
Jason Torchinsky 
Counsel of Record 
Dennis W. Polio 
Andrew D. Watkins 
Holtzman Vogel Josefiak Torchinsky PLLC 
45 North Hill Drive 
Suite 100 
Warrenton, VA 20186 
(540) 341-8808 
(540) 341-8809 
Jtorchinsky@hvjt.law 
Counsel for Amici Curiae","{'CURIAE ..........................................': '1', 'ARGUMENT .........................................................................': '3', 'INSTITUTIONS. ': '3', 'Widespread. ': '3', 'Chaos. ': '23', 'THESE STRUCTURES': '24', 'Determinations .......................................................': '24', 'Challenges. ': '32', 'CONCLUSION ....................................................................': '33'}",,affirm
scotus_filing_38291,"TABLE OF CONTENTS 
Page 
 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICI CURIAE  ................................ 1 
SUMMARY OF ARGUMENT ..................................... 2 
ARGUMENT ............................................................... 4 
I. 
THE FIRST AMENDMENT GUARANTEES NON-
INTERFERENCE IN RELIGIOUS GROUPS’ 
GOVERNANCE AND STRUCTURE. ............................. 4 
A. Non-Interference Is A Central Feature 
Of Both Disestablishment And Free 
Exercise. .......................................................... 4 
B. The Court Has Repeatedly Applied 
This Non-Interference Principle. ................... 9 
II. THE MINISTERIAL EXCEPTION ANALYSIS 
SHOULD FOCUS ON THE EMPLOYEE’S 
RELIGIOUS FUNCTIONS. ........................................ 11 
A. The Ninth Circuit’s Application Of 
Hosanna-Tabor Improperly 
Subordinates A Functional Analysis 
To Formulaic Criteria. ................................. 11 
B. Courts Should Defer To A Religious 
Organization’s Good-Faith 
Understanding That Duties Are 
Religiously Important. ................................. 18 
CONCLUSION .......................................................... 23 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-348/117322/20190927142419349_Biel%20Cert-Stage%20Amicus%20Brief%20TO%20FILE.pdf,"CONCLUSION 
For the foregoing reasons, the petitions for writs 
of certiorari should be granted. 
Respectfully submitted, 
 
 
THOMAS H. DUPREE JR. 
   Counsel of Record 
ANDREW G. I. KILBERG 
JASON H. HILBORN 
TRAVIS S. ANDREWS 
GIBSON, DUNN & CRUTCHER LLP 
1050 Connecticut Avenue, N.W. 
Washington, D.C.  20036 
(202) 955-8500 
tdupree@gibsondunn.com 
 
 
Counsel for Amici Curiae 
September 27, 2019","{'CURIAE\u2009 ................................': '1', 'ARGUMENT .....................................': '2', 'ARGUMENT ...............................................................': '4', 'STRUCTURE. ': '4', 'Exercise. ': '4', 'Principle. ': '9', 'FUNCTIONS. ': '11', 'Criteria. ': '11', 'Important. ': '18', 'CONCLUSION ..........................................................': '23'}",,grant
scotus_filing_38525,"TABLE OF CONTENTS 
Page 
INTEREST OF THE AMICUS CURIAE ................... 1 
SUMMARY OF THE ARGUMENT ........................... 2 
ARGUMENT ............................................................... 4 
I. The Decisions of the Minnesota and 
Montana Supreme Courts expose 
automobile manufacturers to nationwide 
personal jurisdiction. ....................................... 4 
A. These decisions erase the clear line 
between general and specific personal 
jurisdiction. ................................................. 4 
B. These decisions will have a particularly 
pernicious impact on the due process 
rights of automobile manufacturers. ....... 11 
II. The Court should not wait any longer to 
finally resolve the question presented. ......... 16 
CONCLUSION ......................................................... 22 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-368/119713/20191021181455471_Auto%20Alliance%20Amicus%20Brief%20Ford%20petitions.pdf,"CONCLUSION 
The petitions for certiorari should be granted. 
 
Respectfully submitted. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
October 21, 2019 
JAIME A. SANTOS  
  Counsel of Record 
STEPHEN R. SHAW 
GOODWIN PROCTER LLP 
901 New York Ave., NW 
Washington, DC 20001 
jsantos@goodwinlaw.com 
(202) 346-4000 
 
DARRYL M. WOO 
GOODWIN PROCTER LLP 
Three Embarcadero Center 
San Francisco, CA 94111 
(415) 733-6000 
 
Counsel for Amicus Curiae","{'CURIAE ...................': '1', 'ARGUMENT ...........................': '2', 'ARGUMENT ...............................................................': '4', 'jurisdiction. ': '4', 'manufacturers. ': '11', 'presented. ': '16', 'CONCLUSION .........................................................': '22'}",,grant
scotus_filing_38539,"TABLE OF CONTENTS 
 
Page 
 
TABLE OF AUTHORITIES ...................................... ii 
INTEREST OF AMICUS CURIAE ............................ 1 
INTRODUCTION AND SUMMARY  
OF ARGUMENT .................................................. 1 
ARGUMENT ............................................................... 4 
I. 
Federalism Interests Inform and Limit  
the Scope of Specific Jurisdiction ........................ 4 
II. This Court’s Precedents Require a  
Causal Connection Between the  
Defendant’s Forum Contacts and  
the Plaintiff’s Claims ......................................... 11 
III. Requiring a Causal Connection for Specific 
Jurisdiction Promotes Predictability and 
Discourages Forum Shopping ........................... 16 
CONCLUSION ......................................................... 19 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-368/137271/20200306120526673_WLF-Ford%20Amicus%20Brief%20--%20Final.pdf,"CONCLUSION 
This Court should reverse the decisions of the 
Minnesota and Montana Supreme Courts and reaf-
firm that specific jurisdiction exists only where there 
is a causal connection between the defendant’s forum 
contacts and the plaintiff’s claims. 
 
 MARCH 6, 2020 
 
 
Respectfully submitted, 
 
CORY L. ANDREWS 
CORBIN K. BARTHOLD 
WASHINGTON LEGAL   
    FOUNDATION 
2009 Mass. Ave., NW 
Washington, DC 20036 
 
BETH HEIFETZ 
JONES DAY 
51 Louisiana Ave., NW 
Washington, DC 20001 
AMANDA K. RICE 
   Counsel of Record 
CORY M. CARONE 
CHRISTOPHER M. JOHNSON 
JONES DAY 
150 W. Jefferson Ave. 
Suite 2100 
Detroit, MI 48226 
(313) 230-7926 
arice@jonesday.com 
Counsel for Amicus Curiae","{'CURIAE ............................': '1', 'ARGUMENT ..................................................': '1', 'ARGUMENT ...............................................................': '4', 'Jurisdiction ........................': '4', 'Claims .........................................': '11', 'Shopping ...........................': '16', 'CONCLUSION .........................................................': '19'}",,reverse
scotus_filing_38540,"TABLE OF CONTENTS 
Page 
Interest of the United States....................................................... 1 
Statement: 
A. 
Legal background .......................................................... 2 
B. 
Factual background ....................................................... 3 
Summary of argument ................................................................. 5 
Argument: 
A. 
The state supreme courts erred in upholding the 
exercise of specific jurisdiction over Ford ................... 8 
1. 
Specific jurisdiction requires contacts related 
to the claim, not just general connections to 
the forum ................................................................. 8 
2. 
Specific jurisdiction turns on the conduct of 
the defendant, not the unilateral acts of other 
parties ................................................................... 14 
3. 
The claims here do not arise out of or relate 
to the forum-state contacts identified by the 
state supreme courts ........................................... 19 
B. 
No sound justification supports the state supreme 
courts’ contrary theory of jurisdiction ....................... 21 
1. 
This Court’s cases do not support the state 
courts’ exercise of jurisdiction ............................ 21 
2. 
The forum States’ interests do not justify  
the state courts’ exercise of jurisdiction ............ 24 
3. 
The plaintiffs’ interests do not justify the 
state courts’ exercise of jurisdiction .................. 26 
C. 
This Court should not adopt Ford’s proximate-
cause test for specific jurisdiction .............................. 29 
D. 
These cases raise no issues concerning 
constitutional limits on the personal jurisdiction 
of federal courts ........................................................... 32 
Conclusion ................................................................................... 33 
 
IV 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-368/137387/20200306173544844_19-368tsacUnitedStates.pdf,"CONCLUSION 
The judgments of the Supreme Courts of Montana 
and Minnesota should be reversed.  
Respectfully submitted. 
 
 
NOEL J. FRANCISCO 
Solicitor General 
JOSEPH H. HUNT 
Assistant Attorney General 
EDWIN S. KNEEDLER 
Deputy Solicitor General 
HASHIM M. MOOPPAN 
Deputy Assistant Attorney 
General 
VIVEK SURI 
Assistant to the Solicitor  
General 
MICHAEL S. RAAB 
JOSEPH F. BUSA 
Attorneys 
MARCH 2020","{'United States': '1', 'background ..........................................................': '2', 'background .......................................................': '3', 'argument .................................................................': '5', 'Ford ................... 8': '1', 'forum ................................................................. 8': '2', 'parties ................................................................... 14': '3', 'courts ...........................................': '19', 'jurisdiction ....................... 21': '1', 'jurisdiction ............................ 21': '2', 'jurisdiction ............ 24': '3', 'jurisdiction ..................': '26', 'jurisdiction ..............................': '29', 'courts ...........................................................': '32', 'Conclusion ...................................................................................': '33'}",,reverse
scotus_filing_38554,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES .................................  
ii 
INTEREST OF THE AMICI CURIAE .................  
1 
SUMMARY OF ARGUMENT ..............................  
1 
ARGUMENT ........................................................  
4 
 
I.   The States’ Exercise of Jurisdiction in These 
Cases Does Not Violate Any Traditionally 
Recognized Due-Process Interest .................  
4 
A.   Horizontal Federalism .........................  
7 
B.   Substantive Due Process .....................  10 
 II.   A Strict Causation Requirement Deviates 
from This Court’s Precedent ......................  17 
 III.   Adopting a Strict Causation Requirement 
Would Create Signiﬁcant Inefﬁciency In-
consistent with Procedural Due Process .....  21 
CONCLUSION .....................................................  25 
 
APPENDIX 
Amici Curiae Scholars of Civil Procedure and 
Federal Courts .................................................. App. 1 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-368/140865/20200403163913173_39717%20pdf%20Simard%20br.pdf,"CONCLUSION 
 
For the reasons stated above, the judgments of the 
Supreme Courts of Montana and Minnesota should be 
afﬁrmed. 
Respectfully submitted, 
LINDA SANDSTROM SIMARD  
 Counsel of Record 
APRIL 2020","{'CURIAE .................  ': '1', 'ARGUMENT ..............................  ': '1', 'ARGUMENT ........................................................  ': '4', 'Interest .................  ': '4', 'Federalism .........................  ': '7', 'Process ..................... ': '10', 'Precedent ...................... ': '17', 'Process ..... ': '21', 'CONCLUSION ..................................................... ': '25', 'Courts .................................................. App': '1'}",,other
